Actualizado 2026-09-12 09:10,,,,,,
Nro,Identificacion,Nombres,Apellidos,NroCuenta,IdBanco,Saldo
1,7959901141,Carlos Sofia,Mendoza,10017770,12,5546.28362
2,7959901141,Carlos Sofia,Mendoza,10017771,12,22626.29604
3,1129743629,Sofia Jose,Vargas Lopez,10062135,7,34346.61419
4,1129743629,Sofia Jose,Vargas Lopez,10062136,7,36692.04907
5,2962551652,MOLLO VARGAS ISRAEL,Rodriguez Garcia,10000000,1,6034.975
6,2962551652,QUINTEROS GARCIA JARED NATHANAEL JUAN,Rodriguez Garcia,10000001,1,46773.27284
7,2122590651,Sofia,Garcia Mendoza,10106237,2,18906.07418
8,2122590651,Sofia,Garcia Mendoza,10106238,2,31646.6423
9,2869928457,Jorge,Rodriguez,10115068,1,30171.68517
10,2869928457,Soila,Comadreja,10115069,1,25997.01398
11,2869928457,Soila,Comadreja,10106239,2,2555.86427
12,2869928457,Soila,Comadreja,10106240,2,49365.22852
13,1468733396,Aquiles,Castro,10088585,4,643.92724
14,1468733396,Aquiles,Castro,10088586,4,46.94852
15,1468733396,Aquiles,Castre Denuevo,10008868,13,4709.52587
16,1834324124,Ana,Conda,10008869,13,28346.9464
17,4683559426,Ana,Conda,10106241,2,16755.66308
18,4683559426,Ana,Conda,10106242,2,5164.37976
19,6147753629,Jose,Vargas,10044441,9,-6426.90356
20,6147753629,Jose,Vargas,10044442,9,-18018.18688
21,4865250810,Ana Elena,Flores,10079800,5,-29609.4702
22,4865250810,Ana Elena,Flores,10079801,5,-41200.75352
23,6521337201,Maria,Rodriguez,10053258,8,-52792.03684
24,6521337201,Maria,Rodriguez,10053259,8,-64383.32016
25,6204560448,Jorge Maria,Vargas Vargas,10044443,9,-75974.60348
26,6204560448,Jorge Maria,Vargas Vargas,10044444,9,-87565.8868
27,1958627301,Jorge Diego Jose,Mamani Mendoza,10026752,11,48228.87765
28,1958627301,Jorge Diego Jose,Mamani Mendoza,10026753,11,7932.50291
29,2223622626,Carlos,Rodriguez,10026754,11,23687.05777
30,2223622626,Carlos,Rodriguez,10026755,11,32104.02732
31,2837303688,Elena Sofia Juan,Lopez,10088587,4,25811.81119
32,2837303688,Elena Sofia Juan,Lopez,10088588,4,32980.93503
33,1155838567,Ricardo,Perez,10044445,9,36791.20668
34,1155838567,Ricardo,Perez,10044446,9,18657.40397
35,2968426303,Ricardo Ana,Claros Perez,10026756,11,8031.7989
36,2968426303,Ricardo Ana,Claros Perez,10026757,11,38711.82698
37,4849119815,Lucia Elena,Mamani,10088589,4,12006.36999
38,4849119815,Lucia Elena,Mamani,10088590,4,41598.38026
39,1106394542,Diego,Quispe,10062137,7,49138.36017
40,1106394542,Diego,Quispe,10062138,7,10111.61802
41,3679224410,Sofia,Quispe,10044447,9,35651.884
42,3679224410,Sofia,Quispe,10044448,9,161.82883
43,9662047956,Lucia Carlos Juan,Vargas Lopez,10062139,7,1919.26867
44,9662047956,Lucia Carlos Juan,Vargas Lopez,10062140,7,45790.60271
45,16369647,Sofia,Garcia,10044449,9,27816.15357
46,16369647,Sofia,Garcia,10044450,9,22542.53851
47,9630214461,VALDIVIA RODRIGUEZ ROLANDO,Perez,10000002,1,12683.72512
48,9630214461,SANABRIA SUAREZ MICHAEL,Perez,10000003,1,41047.62046
49,2119004058,Jose Diego,Quispe,10106243,2,39.8899
