CuentaId,BancoId,ClienteNombre,SaldoUSD
10001,1,Luis Flores,48227.66
10002,1,Carlos Mamani,2654.97
10003,1,Valeria Choque,31887.98
10004,1,Gabriel Mendoza,5205.47
10005,1,Sofia Vargas,14643.79
10006,1,Maria Rodriguez,49219.76
10007,1,Valeria Choque,43832.29
10008,1,Elena Gutierres,35215.6
10009,1,Hugo Torrez,3286.66
10010,1,Diego Morales,33616.54
10011,1,Mateo Cabrera,2073.12
10012,1,Sofia Vargas,16765.9
10013,1,Diego Morales,18947.26
10014,1,Carlos Mamani,22149.49
10015,1,Carlos Mamani,45361.66
10016,1,Lucia Guzman,48674.71
10017,1,Gabriel Mendoza,17927.34
10018,1,Juan Pérez,23061.69
10019,1,Gabriel Mendoza,21524.15
10020,1,Mateo Cabrera,41624.87
10021,2,Fernando Silva,39599.73
10022,2,Maria Rodriguez,11685.19
10023,2,Camila Fernandez,21941.07
10024,2,Valeria Choque,40627.9
10025,2,Carlos Mamani,17948.24
10026,2,Fernando Silva,43687.16
10027,2,Diego Morales,47458.86
10028,2,Sofia Vargas,41480.76
10029,2,Elena Gutierres,9734.23
10030,2,Mateo Cabrera,12948.52
10031,2,Lucia Guzman,21579.56
10032,2,Ana Quispe,42545.93
10033,2,Juan Pérez,39364.52
10034,2,Lucia Guzman,27063.89
10035,2,Sofia Vargas,26257.97
10036,2,Luis Flores,3120.74
10037,2,Diego Morales,2132.98
10038,2,Carlos Mamani,15586.13
10039,2,Luis Flores,606.09
10040,2,Gabriel Mendoza,19959.92
10041,3,Hugo Torrez,26815.05
10042,3,Maria Rodriguez,29303.68
10043,3,Lucia Guzman,18818.2
10044,3,Luis Flores,22221.9
10045,3,Gabriel Mendoza,22183.49
10046,3,Diego Morales,49039.67
10047,3,Valeria Choque,27507.21
10048,3,Maria Rodriguez,8923.42
10049,3,Luis Flores,38456.3
10050,3,Fernando Silva,14613.81
10051,3,Maria Rodriguez,19532.41
10052,3,Camila Fernandez,27991.14
10053,3,Diego Morales,34182.51
10054,3,Sofia Vargas,38546.02
10055,3,Elena Gutierres,19996.68
10056,3,Ana Quispe,1888.21
10057,3,Fernando Silva,48526.07
10058,3,Valeria Choque,1643.26
10059,3,Juan Pérez,47860.92
10060,3,Lucia Guzman,49081.35
10061,4,Fernando Silva,16338.16
10062,4,Carlos Mamani,7183.35
10063,4,Ana Quispe,28813.73
10064,4,Mateo Cabrera,17953.6
10065,4,Valeria Choque,6407.69
10066,4,Sofia Vargas,28779.77
10067,4,Fernando Silva,37521.8
10068,4,Juan Pérez,33454.74
10069,4,Diego Morales,36500.26
10070,4,Lucia Guzman,1165.47
10071,4,Camila Fernandez,17830.38
10072,4,Elena Gutierres,17528.57
10073,4,Valeria Choque,29290.03
10074,4,Luis Flores,22460.72
10075,4,Luis Flores,42705.14
10076,4,Ana Quispe,24098.19
10077,4,Elena Gutierres,8184.04
10078,4,Mateo Cabrera,33972.13
10079,4,Sofia Vargas,10891.17
10080,4,Mateo Cabrera,26924.74
10081,5,Juan Pérez,17493.02
10082,5,Camila Fernandez,20847.08
10083,5,Elena Gutierres,15874.14
10084,5,Camila Fernandez,9211.61
10085,5,Lucia Guzman,24238.72
10086,5,Diego Morales,15813.13
10087,5,Mateo Cabrera,39668.59
10088,5,Lucia Guzman,11184.06
10089,5,Luis Flores,21694.55
10090,5,Sofia Vargas,30073.32
10091,5,Elena Gutierres,12677.67
10092,5,Fernando Silva,25773.42
10093,5,Maria Rodriguez,4046.24
10094,5,Carlos Mamani,41515.34
10095,5,Lucia Guzman,44130.28
10096,5,Sofia Vargas,43932.7
10097,5,Lucia Guzman,6996.7
10098,5,Gabriel Mendoza,747.33
10099,5,Fernando Silva,43033.52
10100,5,Gabriel Mendoza,11976.56
10101,6,Valeria Choque,2869.89
10102,6,Elena Gutierres,18327.94
10103,6,Fernando Silva,19714.02
10104,6,Sofia Vargas,18665.43
10105,6,Elena Gutierres,1644.34
10106,6,Fernando Silva,12293.71
10107,6,Diego Morales,2788.95
10108,6,Valeria Choque,2078.57
10109,6,Hugo Torrez,49612.63
10110,6,Ana Quispe,16462.18
10111,6,Valeria Choque,16298.4
10112,6,Carlos Mamani,42975.69
10113,6,Camila Fernandez,11093.1
10114,6,Carlos Mamani,9794.85
10115,6,Juan Pérez,20974.78
10116,6,Gabriel Mendoza,35543.41
10117,6,Luis Flores,19848.82
10118,6,Sofia Vargas,8140.36
10119,6,Sofia Vargas,33663.77
10120,6,Diego Morales,22658.67
10121,7,Valeria Choque,36527.39
10122,7,Valeria Choque,41361.13
10123,7,Elena Gutierres,48765.77
10124,7,Luis Flores,31476.03
